,Unnamed: 0,area,bathroom,direction,price,rooms,type,latitude,longitude
341,341, 164mt, 2,"Piantini, Santo Domingo De Guzmán","US$ 185,000", 2,Venta,18.4772093,-69.8949479
342,342, 180mt, 4,"Zona Colonial, Santo Domingo De Guzmán","US$ 1,300", 4,Alquiler,18.4714798,-69.8868222
343,343, 179mt, 2,"Piantini, Santo Domingo De Guzmán","US$ 179,000", 2,Venta,18.4772093,-69.8949479
344,344, 94mt, 1,"Zona Colonial, Santo Domingo De Guzmán","US$ 275,000", 2,Venta,18.4714798,-69.8868222
345,345, 95mt, 1,"Zona Colonial, Santo Domingo De Guzmán","US$ 280,000", 2,Venta,18.4714798,-69.8868222
346,346, 229mt, 3,"Urbanización Real, Santo Domingo De Guzmán","RD$ 7,500,000", 3,Venta,18.4428514,-69.9757123
347,347, 141mt, 2,"Urbanización Real, Santo Domingo De Guzmán","US$ 163,000", 2,Venta,18.4428514,-69.9757123
348,348, 148mt, 2,"Colinas De Los Ríos, Santo Domingo De Guzmán","RD$ 4,295,000", 3,Venta,null,null
349,349, 200mt, 3,"La Julia, Santo Domingo De Guzmán","RD$ 8,700,000", 3,Venta,18.4633288,-69.9238582
350,350, 62mt, 1,"Piantini, Santo Domingo De Guzmán","US$ 1,400", 1,Alquiler Amueblado,18.4772093,-69.8949479
